epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,1783.42,0.5222,0.35467,0.99189,0.94877,0.87954,0.94184,0.7924,0.67515,0.44889,1.07425,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,1807.94,0.51503,0.35287,0.98891,0.94359,0.88336,0.94006,0.79685,0.67506,0.45102,1.06824,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,1832.55,0.52018,0.35142,0.98713,0.9533,0.88119,0.94742,0.80084,0.66901,0.45648,1.05892,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,1857.31,0.52539,0.36027,0.99133,0.93295,0.89439,0.94417,0.79838,0.67825,0.45535,1.06241,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,1882.06,0.5168,0.35243,0.98645,0.95087,0.89423,0.94879,0.8027,0.66063,0.44146,1.05694,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,1907.08,0.50247,0.34681,0.98224,0.93779,0.89548,0.95094,0.80421,0.66085,0.44237,1.05804,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,1932.25,0.50909,0.34633,0.98511,0.93532,0.89274,0.94387,0.80126,0.66913,0.45024,1.06476,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,1957.08,0.5169,0.35349,0.98794,0.93479,0.91254,0.95042,0.80396,0.67597,0.45313,1.07514,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,1982.72,0.50048,0.34314,0.98106,0.92467,0.91145,0.95007,0.80223,0.67188,0.44916,1.06734,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,2007.95,0.50351,0.34002,0.98067,0.93015,0.90099,0.94422,0.80004,0.68192,0.46025,1.07924,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,2032.9,0.49952,0.34227,0.98224,0.95044,0.88449,0.94397,0.79918,0.67764,0.45583,1.0761,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,2058.4,0.49664,0.33716,0.97825,0.94753,0.90099,0.94392,0.80229,0.66653,0.44826,1.06875,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,2084.18,0.49421,0.33973,0.97726,0.93761,0.88944,0.9443,0.79939,0.67905,0.45838,1.08982,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,2109.59,0.49106,0.33621,0.97213,0.92913,0.88779,0.94261,0.79941,0.67539,0.45814,1.08486,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,2135.06,0.49034,0.33412,0.97484,0.94654,0.87646,0.94761,0.79994,0.68113,0.44763,1.09652,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,2159.74,0.49387,0.33166,0.97553,0.94584,0.88779,0.94216,0.79785,0.67891,0.4472,1.09337,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
