epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,198.195,0.37986,0.30855,0.83685,0.95079,0.95181,0.97237,0.84043,0.46418,0.30955,0.83533,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,200.66,0.38093,0.31846,0.86772,0.95073,0.95181,0.97365,0.83394,0.47758,0.31283,0.8415,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,203.233,0.36654,0.30648,0.8491,0.95075,0.95181,0.97055,0.83332,0.4776,0.31416,0.84487,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,205.701,0.34885,0.2884,0.84279,0.95067,0.95181,0.97426,0.82001,0.48996,0.31277,0.84995,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,208.164,0.3462,0.28759,0.85451,0.95098,0.95181,0.97203,0.82336,0.47279,0.31463,0.8429,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,210.623,0.33836,0.28638,0.83571,0.95101,0.95181,0.97139,0.82936,0.4751,0.31753,0.84244,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,213.18,0.3456,0.2786,0.8341,0.95038,0.95181,0.97483,0.83853,0.48782,0.31598,0.84529,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,215.686,0.34739,0.28423,0.84575,0.95231,0.96227,0.97236,0.83493,0.47834,0.3164,0.84352,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,218.158,0.33648,0.28484,0.84909,0.9523,0.96212,0.96686,0.82993,0.47732,0.31515,0.84149,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,220.602,0.3489,0.29116,0.85174,0.95231,0.96237,0.96734,0.8335,0.48138,0.32088,0.84232,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,223.92,0.37063,0.29042,0.85001,0.95234,0.96292,0.97494,0.84184,0.48027,0.31942,0.84193,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,227.135,0.35697,0.3047,0.84985,0.95234,0.96304,0.9747,0.83387,0.50026,0.32101,0.84756,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,230.173,0.35626,0.27896,0.85215,0.95237,0.96357,0.96579,0.83279,0.49351,0.31215,0.84678,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,235.465,0.29606,0.26732,0.80955,0.95167,0.96386,0.97572,0.83476,0.48163,0.30755,0.84462,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,238.438,0.31612,0.26665,0.81751,0.95129,0.96386,0.9749,0.83488,0.48445,0.31003,0.84594,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,241.225,0.28537,0.25675,0.79806,0.95128,0.96386,0.96702,0.83071,0.4826,0.30917,0.84606,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,243.93,0.30094,0.25119,0.81175,0.95138,0.96386,0.96775,0.83193,0.48116,0.31502,0.84521,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,246.624,0.29087,0.25571,0.79964,0.95145,0.96386,0.96854,0.8325,0.47998,0.31701,0.84539,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,249.382,0.30535,0.26264,0.80332,0.95126,0.96386,0.96757,0.83016,0.48498,0.31853,0.84589,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,252.003,0.33707,0.26871,0.8096,0.95136,0.96386,0.96696,0.82704,0.48254,0.31391,0.84553,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,254.584,0.28458,0.23967,0.79485,0.95184,0.96386,0.9661,0.82666,0.48174,0.30906,0.84562,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,257.182,0.30261,0.24685,0.80309,0.95175,0.96386,0.96584,0.82872,0.47981,0.30886,0.84438,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,259.85,0.29291,0.24896,0.79579,0.95215,0.96386,0.9668,0.83094,0.48136,0.30186,0.84491,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
